SEQENCE ID                     TM SP PREDICTION
Q2FWI8                          0  0 o
Q2FWJ4                          0  0 o
Q2FWJ6                          0  0 i
Q2FWK0                          0  0 o
Q2FWK9                          0  0 o
Q2FWL1                          0  0 o
Q2FWL6                          0  0 o
Q2FWL9                         11  0 o6-31i43-63o93-114i126-147o159-181i193-211o223-244i251-268o274-295i307-328o348-372i
Q2FWM1                          0  0 o
Q2FWM5                          6  0 i19-35o41-56i63-87o93-116i128-153o165-189i
Q2FWM7                          5  0 o44-69i81-100o106-123i143-159o165-184i
Q2FWM8                          0  0 o
Q2FWN3                          0  0 o
Q2FWN8                          0  0 o
Q2FWN9                          0  Y n7-20c27/28o
Q2FWP0                          0  Y n10-21c29/30o
Q2FWU3                          7  0 o498-521i528-548o560-588i705-726o746-766i773-793o799-818i
Q2FWV5                          0  Y n5-16c28/29o
Q2FWV6                          0  Y n7-18c23/24o
Q2FWY1                          0  0 o
Q2FWY4                         15  0 i28-49o55-73i80-98o110-127i134-155o161-181i202-222o242-264i299-317o323-343i363-381o396-416i428-447o453-473i485-511o
Q2FWY9                          0  0 o
Q2FWZ0                          0  0 o
Q2FX08                          2  0 i12-34o46-69i
Q2FX12                          0  0 o
Q2FX15                          0  0 i
Q2FX43                          0  0 i
Q2FX86                          3  Y n3-14c18/19o289-312i333-364o453-471i
Q2FX95                          0  0 o
Q2FX96                          0  0 o
Q2FXB2                          0  0 o
Q2FXB6                          0  Y n7-18c27/28o
Q2FXC5                          0  Y n10-21c29/30o
Q2FXC7                          0  Y n10-21c29/30o
Q2FXD0                          0  0 o
Q2FXE2                          0  0 o
Q2FXF5                          0  0 o
Q2FXF6                         10  Y n3-14c18/19o28-46i53-72o96-125i137-157o177-200i225-242o248-265i285-308o314-333i408-429o
Q2FXG0                          0  0 o
Q2FXG3                          1  0 o310-327i
Q2FXH2                          0  0 o
Q2FXH7                          0  0 o
Q2FXH9                          0  0 o
Q2FXI0                          0  0 o
Q2FXI5                          0  0 o
Q2FXI9                          0  0 o
Q2FXJ6                          1  0 i27-49o
Q2FXJ8                         11  0 o12-32i44-69o75-94i115-133o153-175i187-206o245-264i276-292o298-322i329-349o355-374i
Q2FXK1                          0  0 o
Q2FXK2                          0  0 o
Q2FXK6                          0  0 o
Q2FXK8                          1  0 o6-23i
Q2FXL7                          0  0 o
Q2FXL9                          0  0 o
Q2FXM5                          0  0 o
Q2FXN3                          0  0 o
Q2FXN7                          2  0 i7-30o130-148i
Q2FXN9                          0  0 o
Q2FXP1                          0  0 o
Q2FXP3                          0  0 o
Q2FXP9                          0  0 o
Q2FXQ0                          0  0 i
Q2FXQ1                          0  0 o
Q2FXQ8                          0  0 o
Q2FXR2                          0  0 o
Q2FXS6                          0  Y n10-28c32/33o
Q2FXS8                          0  0 o
Q2FXT5                          0  0 o
Q2FXT9                          0  0 o
Q2FXU1                          0  0 o
Q2FXU4                          0  0 o
Q2FXU8                          0  0 o
Q2FXV4                          0  0 o
Q2FXW1                          0  0 o
Q2FXW7                          0  0 o
Q2FXX2                          0  0 o
Q2FXX3                         11  0 i21-40o46-70i90-111o123-145i152-175o195-216i237-266o286-310i322-339o345-368i380-402o
Q2FXY3                          0  0 o
Q2FXY5                          0  0 o
Q2FXY6                          0  0 i
Q2FXY9                          0  0 o
Q2FXZ0                          0  0 o
Q2FXZ1                          0  0 o
Q2FXZ4                          0  0 o
Q2FXZ5                          0  0 o
Q2FXZ6                          0  0 o
Q2FXZ7                          0  0 i
Q2FXZ9                          2  0 i5-23o29-47i
Q2FY02                          0  0 o
Q2FY03                          3  0 i21-40o46-65i86-111o
Q2FY07                          0  0 o
Q2FY18                          9  0 o12-34i43-61o67-86i98-118o138-159i171-193o199-219i226-247o253-270i
Q2FY19                          0  0 o
Q2FY21                          1  0 i21-42o
Q2FY22                          0  0 o
Q2FY23                          0  0 o
Q2FY27                          0  0 o
Q2FY33                          0  0 o
Q2FY34                          0  0 o
Q2FY41                          0  0 o
Q2FY42                          0  0 o
Q2FY43                          0  0 o
Q2FY45                          0  0 i
Q2FY46                          0  0 o
Q2FY47                          0  0 o
Q2FY48                          0  0 o
Q2FY49                          0  0 i
Q2FY50                          0  0 o
Q2FY52                          0  0 o
Q2FY53                          0  0 o
Q2FY54                          0  0 o
Q2FY59                          0  0 o
Q2FY64                          0  0 o
Q2FY68                          0  0 o
Q2FY73                          0  0 i
Q2FY76                          0  0 o
Q2FY77                          0  0 o
Q2FY78                          0  0 o
Q2FY79                          0  0 o
Q2FYA1                          0  0 o
Q2FYB2                          0  0 o
Q2FYC8                          0  0 o
Q2FYE7                          5  0 o6-23i44-65o77-95i107-126o146-171i
Q2FYF0                          0  0 o
Q2FYF4                          0  0 o
Q2FYF5                          0  0 o
Q2FYF9                          0  0 o
Q2FYG0                          0  0 o
Q2FYG2                          0  0 o
Q2FYH6                          0  0 o
Q2FYH8                          0  0 i
Q2FYI0                          1  0 i32-59o
Q2FYI5                          0  0 o
Q2FYJ2                          0  0 o
Q2FYJ5                         14  0 i12-30o50-72i84-107o113-133i140-161o167-185i206-224o230-250i271-292o304-322i334-351o357-379i400-423o429-455i
Q2FYK0                          7  0 o6-25i30-46o52-73i85-108o128-150i162-186o192-217i
Q2FYK3                          0  0 o
Q2FYK6                          0  0 o
Q2FYL0                          0  0 i
Q2FYL3                          1  0 i39-61o
Q2FYM9                          0  0 o
Q2FYN2                          0  0 o
Q2FYN3                          3  Y n4-15c19/20o29-47i54-70o108-125i
Q2FYN7                          0  0 o
Q2FYP3                          0  0 o
Q2FYP6                          0  Y n7-18c22/23o
Q2FYP8                          6  0 i25-50o79-104i125-149o161-180i209-230o275-296i
Q2FYP9                          6  0 i33-55o82-108i120-144o156-176i207-228o275-297i
Q2FYQ1                          0  0 o
Q2FYQ2                          0  0 o
Q2FYR3                          0  0 o
Q2FYR4                          0  0 o
Q2FYR5                          0  0 o
Q2FYR6                          0  0 o
Q2FYR9                          0  0 o
Q2FYS1                          0  Y n4-12c17/18o
Q2FYS2                          0  0 o
Q2FYU4                          0  0 o
Q2FYU5                          0  0 i
Q2FYU6                          0  0 o
Q2FYV2                          0  0 o
Q2FYV4                          0  Y n4-11c16/17o
Q2FYV8                          1  0 i7-25o
Q2FYW0                          0  0 o
Q2FYW1                          6  0 i12-29o35-54i61-79o85-100i107-125o131-149i
Q2FYW4                          2  0 o12-34i46-65o
Q2FYY9                          0  0 o
Q2FYZ1                          0  0 o
Q2FYZ4                          0  0 o
Q2FYZ6                          7  0 o6-25i37-59o79-104i130-151o163-184i209-232o238-259i
Q2FYZ7                          0  0 o
Q2FYZ9                          0  0 o
Q2FZ04                          0  0 o
Q2FZ06                          0  0 o
Q2FZ11                          5  0 o12-31i43-64o84-109i139-159o165-183i
Q2FZ18                          3  0 o25-43i55-73o116-137i
Q2FZ21                          0  0 o
Q2FZ23                          0  0 o
Q2FZ25                          0  0 o
Q2FZ34                          0  0 o
Q2FZ39                          0  0 o
Q2FZ42                          0  0 o
Q2FZ43                          0  0 o
Q2FZ44                          0  0 o
Q2FZ45                          0  0 i
Q2FZ54                          0  0 o
Q2FZ56                          0  0 i
Q2FZ60                          0  0 o
Q2FZ61                          0  0 o
Q2FZ63                          0  0 o
Q2FZ64                          1  0 i349-372o
Q2FZ65                          0  0 o
Q2FZ68                          0  0 o
Q2FZ77                          0  0 o
Q2FZ78                          0  0 o
Q2FZ83                          0  0 o
Q2FZ86                          0  0 o
Q2FZ87                          0  0 o
Q2FZ88                          0  0 o
Q2FZ91                          1  0 i171-191o
Q2FZ94                          1  0 i12-38o
Q2FZ95                          1  0 o46-65i
Q2FZ97                          0  0 o
Q2FZ98                          0  0 o
Q2FZA9                          0  0 o
Q2FZB0                          0  0 o
Q2FZB8                          0  Y n10-21c29/30o
Q2FZC0                          0  Y n9-20c28/29o
Q2FZC2                          0  Y n10-21c29/30o
Q2FZC7                          0  0 o
Q2FZC8                          0  Y n6-17c22/23o
Q2FZD2                          0  0 o
Q2FZD6                          0  0 o
Q2FZE0                          0  0 o
Q2FZE4                          2  0 i42-65o71-90i
Q2FZE5                          7  Y n9-20c29/30o61-82i112-134o140-163i183-201o230-255i267-289o295-314i
Q2FZF1                          0  0 i
Q2FZG4                          0  0 o
Q2FZG6                          0  0 o
Q2FZG8                          0  0 o
Q2FZH3                          9  0 o15-38i58-79o91-114i126-150o182-202i223-242o318-345i357-379o399-428i
Q2FZJ3                          0  0 o
Q2FZL1                          0  0 o
Q2FZL6                          0  0 o
Q2FZN7                          0  0 o
Q2FZP2                          1  0 i410-427o
Q2FZP4                          0  0 o
Q2FZP9                          0  Y n2-9c14/15o
Q2FZQ4                         10  Y n4-15c33/34o57-79i100-124o130-150i162-184o190-212i233-265o277-295i307-332o338-357i369-387o
Q2FZQ5                          5  0 i295-315o321-348i369-391o397-422i443-460o
Q2FZQ6                          0  0 o
Q2FZR5                          0  0 o
Q2FZR6                          6  0 i64-85o156-181i193-211o217-236i271-300o325-346i
Q2FZR7                          6  0 i9-27o99-119i131-151o171-190i225-251o271-297i
Q2FZR9                          0  0 o
Q2FZS5                          0  0 o
Q2FZS8                          0  0 o
Q2FZS9                         11  0 i21-36o42-63i84-103o154-170i177-198o210-228i240-260o272-298i310-328o334-355i376-398o
Q2FZT7                          0  0 o
Q2FZT8                          1  0 i7-31o
Q2FZT9                          5  0 i21-42o48-71i101-125o131-150i162-178o
Q2FZU2                          0  0 o
Q2FZU5                          0  0 o
Q2FZU9                          0  0 o
Q2FZV1                         21  0 o6-25i32-54o74-99i111-127o133-153i165-187o207-232i244-260o272-289i301-326o332-361i373-395o429-451i472-495o526-548i591-611o623-642i649-666o672-693i705-728o767-784i
Q2FZV2                          4  0 i12-34o40-60i72-91o111-138i
Q2FZV3                          3  0 o6-21i28-48o68-92i
Q2FZV6                          0  0 o
Q2FZW0                          0  0 o
Q2FZW2                          0  0 o
Q2FZW5                         11  0 i7-25o31-47i59-81o93-115i127-148o160-179i200-222o242-269i323-340o346-364i376-399o
Q2FZX0                          0  0 o
Q2FZX9                          0  0 o
Q2FZY4                          0  0 o
Q2FZY5                          0  0 o
Q2FZZ0                          0  Y n4-14c18/19o
Q2FZZ1                          5  0 o31-54i66-90o96-119i159-182o202-224i
Q2FZZ8                          0  0 o
Q2G010                          2  0 o6-24i36-55o
Q2G023                          0  0 o
Q2G024                          0  0 o
Q2G025                          0  0 o
Q2G037                          0  0 o
Q2G038                          0  Y n6-17c21/22o
Q2G039                          0  0 o
Q2G041                          0  0 o
Q2G047                          0  0 o
Q2G049                          0  0 o
Q2G052                          0  0 o
Q2G060                         11  0 o6-24i44-64o70-90i102-120o126-148i155-173o179-197i204-225o231-253i285-304o310-331i
Q2G061                          6  0 o6-23i35-54o74-94i101-119o125-148i155-178o
Q2G071                          0  Y n4-15c19/20o
Q2G077                          0  0 o
Q2G078                          0  0 o
Q2G082                         13  0 o38-55i67-88o103-136i157-177o189-207i231-251o257-280i292-309o341-362i374-396o402-421i442-459o471-494i
Q2G084                          0  0 o
Q2G087                          0  0 o
Q2G088                          6  0 o23-44i53-74o80-97i133-159o179-198i210-230o
Q2G089                          0  0 o
Q2G0A0                          0  0 i
Q2G0A6                          0  0 o
Q2G0B2                          6  0 i12-33o45-67i128-149o155-172i240-261o267-286i
Q2G0B3                          5  0 i12-36o48-68i125-142o148-166i227-247o
Q2G0D8                          0  0 o
Q2G0E1                          0  0 o
Q2G0E8                          0  0 o
Q2G0E9                          0  0 i
Q2G0F8                          0  0 o
Q2G0G1                          0  0 o
Q2G0I4                          0  0 o
Q2G0I7                          0  0 o
Q2G0I8                          0  0 o
Q2G0J0                          0  0 o
Q2G0J7                          0  0 o
Q2G0J8                          0  0 o
Q2G0K4                         12  0 i20-40o60-84i91-110o116-133i164-185o191-211i247-268o280-301i313-331o337-356i377-397o409-427i
Q2G0K7                          0  0 o
Q2G0L1                          0  0 o
Q2G0L7                          0  Y n4-12c20/21o
Q2G0L9                          0  0 o
Q2G0M0                          0  0 o
Q2G0M1                          0  0 o
Q2G0M6                          0  0 o
Q2G0N9                          0  0 o
Q2G0P0                          0  0 i
Q2G0P2                          0  0 o
Q2G0P4                          0  0 o
Q2G0P9                         11  Y n4-16c21/22o31-51i63-84o90-109i114-131o137-155i167-188o194-216i251-277o289-308i345-365o385-403i
Q2G0Q5                          0  0 o
Q2G0Q6                          0  0 o
Q2G0Q7                          0  0 o
Q2G0Q8                          0  0 o
Q2G0Q9                          0  0 o
Q2G0R2                          0  0 o
Q2G0R5                          0  0 i
Q2G0S0                          0  0 o
Q2G0S5                          0  0 i
Q2G0S8                          0  0 o
Q2G0T3                          0  0 o
Q2G0T4                          0  Y n33-44c48/49o
Q2G0T5                          0  0 o
Q2G0T9                          0  0 o
Q2G0U0                          9  0 i113-135o155-174i181-201o264-288i300-319o339-361i373-393o399-421i442-464o
Q2G0U2                          0  0 o
Q2G0V0                          0  Y n4-15c19/20o
Q2G0V3                          0  0 o
Q2G0V4                          0  0 o
Q2G0V7                          0  0 o
Q2G0W1                          0  0 o
Q2G0W9                          1  0 i7-27o
Q2G0X1                          0  Y n7-18c26/27o
Q2G0X4                          0  Y n11-22c30/31o
Q2G0X6                          0  0 o
Q2G0X9                          0  Y n11-22c30/31o
Q2G0Z4                         11  0 o6-22i34-52o72-93i105-130o184-202i222-245o265-287i299-317o337-358i370-388o394-416i
Q2G101                          0  0 o
Q2G107                          1  0 i12-30o
Q2G111                          0  0 i
Q2G112                          0  0 o
Q2G113                          0  0 o
Q2G115                          0  0 o
Q2G117                          3  0 o28-49i70-94o100-120i
Q2G118                          0  0 o
Q2G120                          1  0 i68-86o
Q2G121                          0  0 o
Q2G124                          0  0 o
Q2G127                          1  0 o6-30i
Q2G128                          7  0 o6-25i45-68o80-102i109-129o135-157i169-184o190-211i
Q2G129                          7  Y n3-14c18/19o309-332i344-367o379-399i420-447o459-481i488-509o541-558i
Q2G130                          1  0 i21-42o
Q2G131                          0  Y n4-15c19/20o
Q2G138                         12  0 i25-43o63-81i93-112o118-137i158-185o197-215i261-279o299-319i331-348o360-380i392-414o420-442i
Q2G143                          0  0 o
Q2G145                         11  0 o12-29i41-59o93-112i119-140o146-167i224-245o257-282i316-336o342-363i370-392o420-440i
Q2G147                          0  0 o
Q2G149                          0  0 o
Q2G157                          0  0 o
Q2G161                         13  0 o6-28i49-67o79-100i121-145o157-176i188-213o233-254i275-298o318-340i375-396o402-426i433-452o458-480i
Q2G162                         10  0 o6-22i34-67o87-110i136-153o165-185i192-211o261-281i293-310o347-366i387-405o
Q2G167                          0  0 o
Q2G168                          4  0 i15-36o229-252i273-295o315-339i
Q2G171                         11  Y n2-13c21/22o31-51i63-84o104-124i136-154o180-199i211-235o265-289i301-322o328-348i355-377o397-417i
Q2G178                          0  0 o
Q2G181                          0  0 o
Q2G182                          0  0 o
Q2G187                          1  Y n5-12c16/17o115-136i
Q2G188                          6  0 i7-27o826-845i865-890o902-922i929-948o979-1000i
Q2G189                          0  0 i
Q2G199                         14  0 i12-34o46-66i78-95o101-124i136-158o164-182i203-221o227-247i267-290o296-318i330-350o356-384i404-422o428-452i
Q2G1B0                          0  0 o
Q2G1C9                          0  0 o
Q2G1D0                          1  0 o373-393i
Q2G1E8                          9  Y n8-15c19/20o29-57i69-89o124-151i163-181o193-215i227-248o279-304i325-345o388-408i
Q2G1E9                          0  Y n7-17c21/22o
Q2G1F1                          1  0 i7-25o
Q2G1F7                          9  0 o31-52i64-85o155-177i189-209o275-298i310-334o354-373i408-429o458-480i
Q2G1G2                          0  0 o
Q2G1H0                          0  0 o
Q2G1H2                         12  0 i12-29o41-61i82-101o121-140i152-171o198-218i239-262o282-307i319-337o343-363i375-393o422-441i
Q2G1H9                          0  0 o
Q2G1I4                          6  0 i9-32o64-86i107-139o151-167i179-202o222-240i
Q2G1J0                          0  0 o
Q2G1J3                          0  0 o
Q2G1K4                          0  0 o
Q2G1K7                          0  0 o
Q2G1K9                          0  0 o
Q2G1L5                          0  0 o
Q2G1M1                          0  0 o
Q2G1N9                         15  0 o12-33i38-56o62-89i110-127o133-149i156-175o195-215i227-247o253-271i292-312o318-334i346-370o390-411i423-445o511-529i
Q2G1P5                         14  0 i12-33o45-68i80-100o106-123i135-157o163-181i202-221o227-246i267-288o300-318i330-349o355-375i396-419o431-451i
Q2G1P9                          0  Y n7-18c23/24o
Q2G1Q0                          0  Y n8-19c28/29o
Q2G1Q1                          0  Y n7-18c23/24o
Q2G1R3                          0  0 o
Q2G1S1                          0  0 o
Q2G1S6                          0  Y n11-22c30/31o
Q2G1S8                          0  Y n11-22c27/28o
Q2G1U0                          0  0 o
Q2G1U1                          0  0 o
Q2G1U3                          0  0 o
Q2G1U5                          0  0 o
Q2G1U8                          0  Y n5-16c21/22o
Q2G1X5                          0  0 o
Q2G1Z1                          8  Y n11-23c28/29o65-82i94-113o119-142i154-174o198-217i244-271o283-301i313-333o
Q2G1Z2                          9  0 i12-33o65-85i97-116o122-143i155-179o199-217i238-264o284-302i309-327o
Q2G1Z5                          5  0 i138-162o278-300i312-332o338-356i368-386o
Q2G1Z6                          7  0 o6-37i49-67o73-95i102-123o129-150i171-190o196-216i
Q2G1Z7                          0  0 i
Q2G202                          0  0 o
Q2G204                          0  0 o
Q2G210                          3  Y n4-14c18/19o28-46i58-82o102-122i
Q2G212                         14  0 o6-23i32-53o73-96i108-127o133-150i162-185o205-228i240-264o270-293i305-328o334-356i368-386o406-431i451-470o
Q2G213                          3  0 o6-21i28-49o69-93i
Q2G214                          4  0 i12-30o36-56i68-89o109-136i
Q2G219                         11  0 o15-35i55-80o92-116i128-152o172-192i199-220o284-302i309-326o332-351i358-382o388-410i
Q2G222                          0  Y n6-17c27/28o
Q2G223                          0  0 o
Q2G226                         13  Y n14-25c37/38o47-65i77-95o101-124i136-158o164-182i194-214o220-237i258-279o291-309i321-338o344-363i384-404o416-440i
Q2G233                          0  0 o
Q2G234                          0  0 o
Q2G235                          0  0 o
Q2G239                          9  0 i317-336o356-374i386-414o434-454i475-495o515-536i548-568o574-593i614-635o
Q2G243                          0  0 o
Q2G253                          1  Y n4-15c27/28o748-766i
Q2G256                          0  0 o
Q2G272                          0  0 o
Q2G273                          0  0 o
Q2G275                          0  0 o
Q2G280                          0  0 o
Q2G286                          0  0 o
Q2G292                          0  0 o
Q2G294                          0  0 o
Q2G296                          0  0 o
Q2G298                          0  0 o
Q2G2A1                          0  0 o
Q2G2A4                          0  0 o
Q2G2A5                          0  0 o
Q2G2C1                          0  0 o
Q2G2D2                          0  0 o
Q2G2D3                          0  0 o
Q2G2D4                         10  0 i31-51o71-91i103-121o133-156i177-198o218-240i247-264o284-305i340-360o380-408i
Q2G2D8                          0  Y n4-15c19/20o
Q2G2D9                          7  0 o17-37i49-82o94-113i134-156o176-206i218-239o245-265i
Q2G2E0                         12  0 i16-36o42-59i71-94o100-121i142-163o169-191i203-220o226-242i263-284o296-326i353-379o391-413i
Q2G2E1                          3  0 o6-28i49-68o74-96i
Q2G2E4                         10  Y n3-14c21/22o31-51i63-84o90-110i165-186o192-215i236-261o267-285i292-310o348-373i385-408o
Q2G2E5                          6  0 i20-42o54-80i134-154o160-179i238-259o265-283i
Q2G2F4                          5  0 o17-40i79-98o118-137i175-194o200-227i
Q2G2F5                          0  0 o
Q2G2F8                          1  0 o16-35i
Q2G2G3                         11  0 i33-50o62-82i103-122o128-158i170-189o213-232i265-286o306-325i357-374o386-408i420-442o
Q2G2G9                          0  0 o
Q2G2H4                          0  0 o
Q2G2H6                          3  0 o6-23i35-54o60-79i
Q2G2H7                         14  0 o6-24i33-51o71-97i109-126o132-152i164-186o206-233i245-268o274-297i304-333o339-358i370-388o408-431i451-468o
Q2G2H8                          4  0 i5-22o28-45i57-80o100-121i
Q2G2H9                          3  0 o6-29i41-61o67-85i
Q2G2I3                          9  0 i12-32o52-69i81-103o109-126i138-160o166-186i219-244o256-277i289-308o
Q2G2J0                          1  0 i12-31o
Q2G2J2                          0  Y n4-19c27/28o
Q2G2J5                          0  0 i
Q2G2K6                          0  0 o
Q2G2K7                          0  0 o
Q2G2K8                          0  0 o
Q2G2L0                          0  0 o
Q2G2M3                          0  0 o
Q2G2M7                          0  0 i
Q2G2N4                          0  0 o
Q2G2Q1                          0  0 o
Q2G2Q4                          0  0 i
Q2G2R0                          0  0 o
Q2G2R4                          0  0 o
Q2G2R5                          0  0 o
Q2G2S1                          1  0 i84-106o
Q2G2T3                          0  0 o
Q2G2T6                          2  0 i9-29o35-54i
Q2G2T8                          0  0 o
Q2G2U0                          0  0 o
Q2G2U8                         21  0 o6-22i29-47o81-100i112-128o134-154i166-188o208-233i245-266o272-293i300-324o330-348i387-406o426-451i472-496o530-551i591-611o626-647i654-671o677-700i712-731o771-790i
Q2G2V4                          0  0 i
Q2G2W0                          0  0 o
Q2G2W1                         15  0 o6-25i141-159o179-200i207-230o236-257i269-289o295-315i327-346o352-374i394-419o431-448i455-473o485-510i531-549o603-621i
Q2G2X1                          0  0 o
Q2G2X5                          7  0 o41-59i71-89o121-142i149-173o179-196i216-235o241-260i
Q2G2X7                          0  Y n11-22c27/28o
Q59801                          0  Y n11-22c26/27o
Q7X2S2                          0  0 o
Q93T05                          0  0 o
Q9F1K0                          0  0 o
Q9RFJ6                          1  0 o6-26i
Q9RQP6                         10  0 i9-29o49-69i81-98o118-138i150-167o187-203i215-233o253-270i282-301o307-328i
Q9RQP8                          2  0 i21-43o71-92i
Q9RQQ0                          0  0 o
Q9ZAH6                          0  0 o
P0A0G6                          0  0 i
P0A0Q4                          0  0 o
P0C7Y1                          0  0 o
P0C7Z3                          0  0 o
P0C805                          0  0 i
P0C818                          0  0 o
Q2FUP5                          0  0 o
Q2FUP6                          0  0 o
Q2FUP7                          0  0 o
Q2FUP8                          0  0 i
Q2FUP9                          0  0 o
Q2FUQ6                          4  0 o6-25i32-52o64-84i96-114o
Q2FUQ7                          3  Y n8-17c22/23o32-52i64-82o88-114i
Q2FUQ8                          3  0 i80-99o105-123i164-185o
Q2FUQ9                          0  0 o
Q2FUR0                          0  0 o
Q2FUR1                          0  0 o
Q2FUR2                          0  0 o
Q2FUR3                          0  0 o
Q2FUR4                          1  0 o43-61i
Q2FUR5                         10  0 i18-36o56-75i110-131o151-175i195-217o237-259i289-311o506-528i564-585o591-616i
Q2FUR7                          6  0 i12-31o37-55i67-88o94-115i122-140o146-166i
Q2FUR8                          0  0 o
Q2FUS0                          0  0 o
Q2FUS1                         10  0 i9-26o38-56i77-96o108-125i132-148o154-171i183-202o214-234i241-263o269-287i
Q2FUS2                         12  0 i7-23o35-51i56-73o85-101i174-196o216-239i272-290o296-314i321-339o359-379i391-414o443-466i
Q2FUS3                          0  0 o
Q2FUS4                          0  0 o
Q2FUS5                          6  0 i73-93o105-124i136-159o174-193i200-219o225-246i
Q2FUS9                          0  0 o
Q2FUT0                          0  0 o
Q2FUT1                          5  0 o6-29i41-66o78-99i111-129o149-172i
Q2FUT2                          0  0 o
Q2FUT3                          5  0 i21-37o43-60i67-86o115-137i248-267o
Q2FUT4                          0  0 o
Q2FUT5                          0  Y n6-18c22/23o
Q2FUT9                          0  0 o
Q2FUU4                          1  0 o51-78i
Q2FUV1                          2  0 i20-40o169-191i
Q2FUV3                          0  0 o
Q2FUV4                          0  0 o
Q2FUV6                          0  0 o
Q2FUV7                          0  0 o
Q2FUV8                          0  0 o
Q2FUV9                          0  0 o
Q2FUW0                          0  0 o
Q2FUX1                          0  0 o
Q2FUX2                          0  Y n4-15c20/21o
Q2FUX6                          0  0 i
Q2FUY4                          0  0 o
Q2FUY5                          0  0 o
Q2FUY7                          0  0 o
Q2FUY8                          0  Y n3-14c18/19o
Q2FUY9                          0  0 o
Q2FUZ2                         10  0 i21-47o53-76i110-135o155-177i198-219o231-257i285-308o535-560i595-617o629-649i
Q2FUZ3                          1  0 o6-32i
Q2FUZ4                          0  0 o
Q2FUZ5                          0  0 i
Q2FUZ6                          0  0 o
Q2FUZ7                          1  0 o6-25i
Q2FV00                          0  0 o
Q2FV01                         12  0 o6-24i31-50o62-81i93-114o120-137i144-162o182-205i254-273o279-296i308-327o399-421i433-454o
Q2FV02                          0  0 o
Q2FV04                          0  0 o
Q2FV05                          0  0 o
Q2FV06                         11  Y n7-18c27/28o43-62i82-103o138-156i186-211o223-244i256-276o317-335i347-370o405-432i444-463o475-498i
Q2FV07                          0  0 o
Q2FV08                          0  0 o
Q2FV09                          0  0 i
Q2FV12                          0  0 o
Q2FV13                          0  0 o
Q2FV15                          2  0 i38-59o79-102i
Q2FV18                          4  0 i5-26o53-74i81-104o116-134i
Q2FV24                          0  0 o
Q2FV25                          0  0 o
Q2FV26                          0  0 i
Q2FV27                          0  0 o
Q2FV29                          1  0 i69-88o
Q2FV32                          0  0 o
Q2FV33                          0  0 o
Q2FV34                          0  0 o
Q2FV35                          0  Y n6-14c19/20o
Q2FV36                          3  0 i81-101o141-163i247-266o
Q2FV37                          4  0 i34-55o67-90i111-131o151-171i
Q2FV38                          0  0 o
Q2FV40                          0  0 o
Q2FV41                          0  0 o
Q2FV43                          0  0 i
Q2FV44                          0  0 o
Q2FV45                          0  0 o
Q2FV46                          0  0 o
Q2FV47                          0  0 o
Q2FV48                          1  0 i144-164o
Q2FV49                          0  0 o
Q2FV50                          0  0 i
Q2FV51                         11  0 o12-34i46-70o76-95i107-127o133-155i175-193o199-221i233-251o257-280i287-304o310-331i
Q2FV53                          0  0 o
Q2FV65                          0  Y n4-15c20/21o
Q2FV66                          0  0 o
Q2FV68                          1  Y n4-15c19/20o29-46i
Q2FV69                          0  0 o
Q2FV70                         12  0 i12-29o173-193i200-218o224-245i257-288o294-323i344-368o512-532i539-559o579-600i626-645o651-673i
Q2FV71                          0  0 o
Q2FV73                          1  0 o6-22i
Q2FV76                          0  0 o
Q2FV78                          0  0 o
Q2FV79                          1  0 o6-25i
Q2FV80                          0  0 i
Q2FV81                          0  Y n6-14c19/20o
Q2FV82                          0  0 o
Q2FV83                          0  0 o
Q2FV86                          0  0 o
Q2FV88                          0  0 o
Q2FV89                          0  0 o
Q2FV90                          0  Y n6-14c18/19o
Q2FV91                         10  0 i12-32o44-63i84-103o109-129i136-155o167-185i192-212o224-248i260-278o284-302i
Q2FV92                          1  0 i12-34o
Q2FV93                          8  0 o15-37i58-81o87-104i111-136o156-175i182-208o245-264i271-304o
Q2FV96                          0  0 i
Q2FV97                          1  Y n4-12c20/21o30-48i
Q2FV98                          0  0 o
Q2FVA0                          6  0 i16-38o50-73i100-122o128-149i156-176o213-233i
Q2FVA1                          0  0 o
Q2FVA2                          0  0 o
Q2FVA5                          0  0 o
Q2FVA6                          0  0 o
Q2FVA7                          0  0 o
Q2FVA8                          0  0 o
Q2FVA9                          0  0 o
Q2FVB0                          8  0 i30-51o57-76i83-104o134-151i163-188o208-232i244-264o270-287i
Q2FVB1                          0  Y n3-13c18/19o
Q2FVB3                          6  0 i19-36o56-77i98-124o144-164i171-195o232-251i
Q2FVB4                          0  0 o
Q2FVB5                          0  0 i
Q2FVB6                         12  0 i7-28o40-61i73-96o102-120i132-153o159-184i205-227o239-260i272-290o296-319i331-353o359-378i
Q2FVB7                          0  0 i
Q2FVB9                         11  Y n12-19c23/24o47-66i78-96o102-127i139-160o166-185i227-250o270-290i297-319o325-348i360-382o388-409i
Q2FVC0                          1  0 i7-31o
Q2FVC3                          0  0 o
Q2FVC5                          1  0 i7-27o
Q2FVC6                          0  0 o
Q2FVC7                          0  0 o
Q2FVC8                          0  0 o
Q2FVC9                          0  0 o
Q2FVD0                          1  0 i7-26o
Q2FVD1                          0  0 i
Q2FVD2                          0  0 o
Q2FVD3                          0  0 o
Q2FVD4                          0  0 o
Q2FVD6                          1  0 o6-25i
